	sql	nest_level	sub_statements
81	select t1.fname , t1.sex from student as t1 join has_pet as t2 on t1.stuid = t2.stuid group by t1.stuid having count (*) > 1	0	0
82	select t1.fname , t1.sex from student as t1 join has_pet as t2 on t1.stuid = t2.stuid group by t1.stuid having count (*) > 1	0	0
83	select t1.lname from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pet_age = 3 and t3.pettype = 'cat'	0	0
84	select t1.lname from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pet_age = 3 and t3.pettype = 'cat'	0	0
85	select avg (age) from student where stuid not in (select stuid from has_pet) 	0	0
86	select avg (age) from student where stuid not in (select stuid from has_pet) 	0	0
87	select count (*) from continents;	0	0
88	select count (*) from continents;	0	0
89	select t1.contid , t1.continent , count (*) from continents as t1 join countries as t2 on t1.contid = t2.continent group by t1.contid;	0	0
90	select t1.contid , t1.continent , count (*) from continents as t1 join countries as t2 on t1.contid = t2.continent group by t1.contid;	0	0
91	select count (*) from countries;	0	0
92	select count (*) from countries;	0	0
93	select t1.fullname , t1.id , count (*) from car_makers as t1 join model_list as t2 on t1.id = t2.maker group by t1.id;	0	0
94	select t1.fullname , t1.id , count (*) from car_makers as t1 join model_list as t2 on t1.id = t2.maker group by t1.id;	0	0
95	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id order by t2.horsepower asc limit 1;	0	0
96	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id order by t2.horsepower asc limit 1;	0	0
97	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t2.weight < (select avg (weight) from cars_data) 	0	0
98	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t2.weight < (select avg (weight) from cars_data) 	0	0
99	select distinct t1.maker from car_makers as t1 join model_list as t2 on t1.id = t2.maker join car_names as t3 on t2.model = t3.model join cars_data as t4 on t3.makeid = t4.id where t4.year = '1970';	0	0
100	select distinct t1.maker from car_makers as t1 join model_list as t2 on t1.id = t2.maker join car_names as t3 on t2.model = t3.model join cars_data as t4 on t3.makeid = t4.id where t4.year = '1970';	0	0
101	select t2.make , t1.year from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t1.year = (select min (year) from cars_data) ;	0	0
102	select t2.make , t1.year from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t1.year = (select min (year) from cars_data) ;	0	0
103	select distinct t1.model from model_list as t1 join car_names as t2 on t1.model = t2.model join cars_data as t3 on t2.makeid = t3.id where t3.year > 1980;	0	0
104	select distinct t1.model from model_list as t1 join car_names as t2 on t1.model = t2.model join cars_data as t3 on t2.makeid = t3.id where t3.year > 1980;	0	0
105	select t1.continent , count (*) from continents as t1 join countries as t2 on t1.contid = t2.continent join car_makers as t3 on t2.countryid = t3.country group by t1.continent;	0	0
106	select t1.continent , count (*) from continents as t1 join countries as t2 on t1.contid = t2.continent join car_makers as t3 on t2.countryid = t3.country group by t1.continent;	0	0
107	select t2.countryname from car_makers as t1 join countries as t2 on t1.country = t2.countryid group by t1.country order by count (*) desc limit 1;	0	0
108	select t2.countryname from car_makers as t1 join countries as t2 on t1.country = t2.countryid group by t1.country order by count (*) desc limit 1;	0	0
109	select count (*) , t2.fullname from model_list as t1 join car_makers as t2 on t1.maker = t2.id group by t2.id;	0	0
110	select count (*) , t2.fullname , t2.id from model_list as t1 join car_makers as t2 on t1.maker = t2.id group by t2.id;	0	0
111	select t1.accelerate from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t2.make = 'amc hornet sportabout (sw) ';	0	0
112	select t1.accelerate from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t2.make = 'amc hornet sportabout (sw) ';	0	0
113	select count (*) from car_makers as t1 join countries as t2 on t1.country = t2.countryid where t2.countryname = 'france';	0	0
114	select count (*) from car_makers as t1 join countries as t2 on t1.country = t2.countryid where t2.countryname = 'france';	0	0
115	select count (*) from model_list as t1 join car_makers as t2 on t1.maker = t2.id join countries as t3 on t2.country = t3.countryid where t3.countryname = 'usa';	0	0
116	select count (*) from model_list as t1 join car_makers as t2 on t1.maker = t2.id join countries as t3 on t2.country = t3.countryid where t3.countryname = 'usa';	0	0
117	select avg (mpg) from cars_data where cylinders = 4;	0	0
118	select avg (mpg) from cars_data where cylinders = 4;	0	0
119	select min (weight) from cars_data where cylinders = 8 and year = 1974	0	0
120	select min (weight) from cars_data where cylinders = 8 and year = 1974	0	0
121	select maker , model from model_list;	0	0
122	select maker , model from model_list;	0	0
123	select t1.countryname , t1.countryid from countries as t1 join car_makers as t2 on t1.countryid = t2.country group by t1.countryid having count (*) >= 1;	0	0
124	select t1.countryname , t1.countryid from countries as t1 join car_makers as t2 on t1.countryid = t2.country group by t1.countryid having count (*) >= 1;	0	0
125	select count (*) from cars_data where horsepower > 150;	0	0
126	select count (*) from cars_data where horsepower > 150;	0	0
127	select avg (weight) , year from cars_data group by year;	0	0
128	select avg (weight) , year from cars_data group by year;	0	0
129	select t1.countryname from countries as t1 join continents as t2 on t1.continent = t2.contid join car_makers as t3 on t1.countryid = t3.country where t2.continent = 'europe' group by t1.countryname having count (*) >= 3;	0	0
130	select t1.countryname from countries as t1 join continents as t2 on t1.continent = t2.contid join car_makers as t3 on t1.countryid = t3.country where t2.continent = 'europe' group by t1.countryname having count (*) >= 3;	0	0
131	select t2.horsepower , t1.make from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t2.cylinders = 3 order by t2.horsepower desc limit 1;	0	0
132	select t2.horsepower , t1.make from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t2.cylinders = 3 order by t2.horsepower desc limit 1;	0	0
133	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id order by t2.mpg desc limit 1;	0	0
134	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id order by t2.mpg desc limit 1;	0	0
135	select avg (horsepower) from cars_data where year < 1980;	0	0
136	select avg (horsepower) from cars_data where year < 1980;	0	0
137	select avg (t2.edispl) from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t1.model = 'volvo';	0	0
138	select avg (t2.edispl) from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t1.model = 'volvo';	0	0
139	select max (accelerate) , cylinders from cars_data group by cylinders;	0	0
140	select max (accelerate) , cylinders from cars_data group by cylinders;	0	0
141	select model from car_names group by model order by count (*) desc limit 1;	0	0
142	select model from car_names group by model order by count (*) desc limit 1;	0	0
143	select count (*) from cars_data where cylinders > 4;	0	0
144	select count (*) from cars_data where cylinders > 4;	0	0
145	select count (*) from cars_data where year = 1980;	0	0
146	select count (*) from cars_data where year = 1980;	0	0
147	select count (*) from car_makers as t1 join model_list as t2 on t1.id = t2.maker where t1.fullname = 'american motor company';	0	0
148	select count (*) from car_makers as t1 join model_list as t2 on t1.id = t2.maker where t1.fullname = 'american motor company';	0	0
149	select t1.fullname , t1.id from car_makers as t1 join model_list as t2 on t1.id = t2.maker group by t1.id having count (*) > 3;	0	0
150	select t1.fullname , t1.id from car_makers as t1 join model_list as t2 on t1.id = t2.maker group by t1.id having count (*) > 3;	0	0
151	select distinct t2.model from car_names as t1 join model_list as t2 on t1.model = t2.model join car_makers as t3 on t2.maker = t3.id join cars_data as t4 on t1.makeid = t4.id where t3.fullname = 'general motors' or t4.weight > 3500;	0	0
152	select distinct t2.model from car_names as t1 join model_list as t2 on t1.model = t2.model join car_makers as t3 on t2.maker = t3.id join cars_data as t4 on t1.makeid = t4.id where t3.fullname = 'general motors' or t4.weight > 3500;	0	0
153	select distinct year from cars_data where weight between 3000 and 4000;	0	0
154	select distinct year from cars_data where weight between 3000 and 4000;	0	0
155	select t1.horsepower from cars_data as t1 order by t1.accelerate desc limit 1;	0	0
156	select t1.horsepower from cars_data as t1 order by t1.accelerate desc limit 1;	0	0
157	select t1.cylinders from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t2.model = 'volvo' order by t1.accelerate asc limit 1;	0	0
158	select t1.cylinders from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t2.model = 'volvo' order by t1.accelerate asc limit 1;	0	0
159	select count (*) from cars_data where accelerate > ;	1	0
160	select count (*) from cars_data where accelerate > ;	1	0
161	select count (*) from countries as t1 join car_makers as t2 on t1.countryid = t2.country group by t1.countryid having count (*) > 2	0	0
162	select count (*) from countries as t1 join car_makers as t2 on t1.countryid = t2.country group by t1.countryid having count (*) > 2	0	0
163	select count (*) from cars_data where cylinders > 6;	0	0
164	select count (*) from cars_data where cylinders > 6;	0	0
165	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t2.cylinders = 4 order by t2.horsepower desc limit 1;	0	0
166	select t1.model from car_names as t1 join cars_data as t2 on t1.makeid = t2.id where t2.cylinders = 4 order by t2.horsepower desc limit 1;	0	0
167	select t2.makeid , t2.make from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t1.horsepower > (select min (horsepower) from cars_data) and t1.cylinders <= 3;	0	0
168	select t2.makeid , t2.make from cars_data as t1 join car_names as t2 on t1.id = t2.makeid where t1.horsepower > (select min (horsepower) from cars_data) and t1.cylinders < 4;	0	0
169	select max (mpg) from cars_data where cylinders = 8 or year < 1980	0	0
170	select max (mpg) from cars_data where cylinders = 8 or year < 1980	0	0
171	select distinct t1.model from model_list as t1 join car_names as t2 on t1.model = t2.model join cars_data as t3 on t2.makeid = t3.id join car_makers as t4 on t1.maker = t4.id where t3.weight < 3500 and t4.fullname != 'ford motor company';	0	0
172	select distinct t1.model from model_list as t1 join car_names as t2 on t1.model = t2.model join cars_data as t3 on t2.makeid = t3.id join car_makers as t4 on t1.maker = t4.id where t3.weight < 3500 and t4.fullname != 'ford motor company';	0	0
173	except	0	2
174	except	0	2
175	intersect	0	2
176	intersect	0	2
177	union	0	2
178	union	0	2
179	"select country from airlines where airline = ""jetblue airways"""	0	0
180	"select country from airlines where airline = ""jetblue airways"""	0	0
181	"select abbreviation from airlines where airline = ""jetblue airways"""	0	0
182	"select abbreviation from airlines where airline = ""jetblue airways"""	0	0
183	"select airline , abbreviation from airlines where country = ""usa"""	0	0
184	"select airline , abbreviation from airlines where country = ""usa"""	0	0
185	"select airportcode , airportname from airports where city = ""anthony"""	0	0
186	"select airportcode , airportname from airports where city = ""anthony"""	0	0
187	select count (*) from airlines	0	0
188	select count (*) from airlines	0	0
189	select count (*) from airports	0	0
190	select count (*) from airports	0	0
191	select count (*) from flights	0	0
192	select count (*) from flights	0	0
193	"select airline from airlines where abbreviation = ""ual"""	0	0
194	"select airline from airlines where abbreviation = ""ual"""	0	0
195	"select count (*) from airlines where country = ""usa"""	0	0
196	"select count (*) from airlines where country = ""usa"""	0	0
197	"select city , country from airports where airportname = ""alton"""	0	0
198	"select city , country from airports where airportname = ""alton"""	0	0
199	"select airportname from airports where airportcode = ""ako"""	0	0
200	"select airportname from airports where airportcode = ""ako"""	0	0
201	"select airportname from airports where city = ""aberdeen"""	0	0
202	"select airportname from airports where city = ""aberdeen"""	0	0
203	"select count (*) from flights where sourceairport = ""apg"""	0	0
204	"select count (*) from flights where sourceairport = ""apg"""	0	0
205	"select count (*) from flights where destairport = ""ato"""	0	0
206	"select count (*) from flights where destairport = ""ato"""	0	0
207	"select count (*) from flights as t1 join airports as t2 on t1.sourceairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
208	"select count (*) from flights as t1 join airports as t2 on t1.sourceairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
209	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
210	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
211	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode join airports as t3 on t1.sourceairport = t3.airportcode where t2.city = ""ashley"" and t3.city = ""aberdeen"""	0	0
212	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode join airports as t3 on t1.sourceairport = t3.airportcode where t2.city = ""ashley"" and t3.city = ""aberdeen"""	0	0
213	"select count (*) from flights as t1 join airlines as t2 on t1.airline = t2.uid where t2.airline = ""jetblue airways"""	0	0
214	"select count (*) from flights as t1 join airlines as t2 on t1.airline = t2.uid where t2.airline = ""jetblue airways"""	0	0
215	"select count (*) from airlines as t1 join flights as t2 on t2.airline = t1.uid where t1.airline = ""united airlines"" and t2.destairport = ""asy"""	0	0
216	"select count (*) from airlines as t1 join flights as t2 on t2.airline = t1.uid where t1.airline = ""united airlines"" and t2.destairport = ""asy"""	0	0
217	"select count (*) from airlines as t1 join flights as t2 on t2.airline = t1.uid where t1.airline = ""united airlines"" and t2.sourceairport = ""ahd"""	0	0
218	"select count (*) from airlines as t1 join flights as t2 on t2.airline = t1.uid where t1.airline = ""united airlines"" and t2.sourceairport = ""ahd"""	0	0
219	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode join airlines as t3 on t3.uid = t1.airline where t2.city = ""aberdeen"" and t3.airline = ""united airlines"""	0	0
220	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode join airlines as t3 on t3.uid = t1.airline where t2.city = ""aberdeen"" and t3.airline = ""united airlines"""	0	0
221	select t1.city from airports as t1 join flights as t2 on t1.airportcode = t2.destairport group by t1.city order by count (*) desc limit 1	0	0
222	select t1.city from airports as t1 join flights as t2 on t1.airportcode = t2.destairport group by t1.city order by count (*) desc limit 1	0	0
223	select t1.city from airports as t1 join flights as t2 on t1.airportcode = t2.sourceairport group by t1.city order by count (*) desc limit 1	0	0
224	select t1.city from airports as t1 join flights as t2 on t1.airportcode = t2.sourceairport group by t1.city order by count (*) desc limit 1	0	0
225	select t1.airportcode from airports as t1 join flights as t2 on t1.airportcode = t2.destairport or t1.airportcode = t2.sourceairport group by t1.airportcode order by count (*) desc limit 1	0	0
226	select t1.airportcode from airports as t1 join flights as t2 on t1.airportcode = t2.destairport or t1.airportcode = t2.sourceairport group by t1.airportcode order by count (*) desc limit 1	0	0
227	select t1.airportcode from airports as t1 join flights as t2 on t1.airportcode = t2.destairport or t1.airportcode = t2.sourceairport group by t1.airportcode order by count (*) limit 1	0	0
228	select t1.airportcode from airports as t1 join flights as t2 on t1.airportcode = t2.destairport or t1.airportcode = t2.sourceairport group by t1.airportcode order by count (*) limit 1	0	0
229	select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline order by count (*) desc limit 1	0	0
230	select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline order by count (*) desc limit 1	0	0
231	select t1.abbreviation , t1.country from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline order by count (*) limit 1	0	0
232	select t1.abbreviation , t1.country from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline order by count (*) limit 1	0	0
233	"select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline where t2.sourceairport = ""ahd"""	0	0
234	"select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline where t2.sourceairport = ""ahd"""	0	0
235	"select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline where t2.destairport = ""ahd"""	0	0
236	"select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline where t2.destairport = ""ahd"""	0	0
237	intersect	0	2
238	intersect	0	2
239	except	0	2
240	except	0	2
241	select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline having count (*) > 10	0	0
242	select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline having count (*) > 10	0	0
243	select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline having count (*) < 200	0	0
244	select t1.airline from airlines as t1 join flights as t2 on t1.uid = t2.airline group by t1.airline having count (*) < 200	0	0
245	"select t1.flightno from flights as t1 join airlines as t2 on t2.uid = t1.airline where t2.airline = ""united airlines"""	0	0
246	"select t1.flightno from flights as t1 join airlines as t2 on t2.uid = t1.airline where t2.airline = ""united airlines"""	0	0
247	"select flightno from flights where sourceairport = ""apg"""	0	0
248	"select flightno from flights where sourceairport = ""apg"""	0	0
249	"select flightno from flights where destairport = ""apg"""	0	0
250	"select flightno from flights where destairport = ""apg"""	0	0
251	"select t1.flightno from flights as t1 join airports as t2 on t1.sourceairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
252	"select t1.flightno from flights as t1 join airports as t2 on t1.sourceairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
253	"select t1.flightno from flights as t1 join airports as t2 on t1.destairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
254	"select t1.flightno from flights as t1 join airports as t2 on t1.destairport = t2.airportcode where t2.city = ""aberdeen"""	0	0
255	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode where t2.city = ""aberdeen"" or t2.city = ""abilene"""	0	0
256	"select count (*) from flights as t1 join airports as t2 on t1.destairport = t2.airportcode where t2.city = ""aberdeen"" or t2.city = ""abilene"""	0	0
257	union	0	2
258	union	0	2
259	select count (*) from employee	0	0
260	select count (*) from employee	0	0
261	select name from employee order by age	0	0
262	select name from employee order by age	0	0
263	select count (*) , city from employee group by city	0	0
264	select count (*) , city from employee group by city	0	0
265	select city from employee where age < 30 group by city having count (*) > 1	0	0
266	select city from employee where age < 30 group by city having count (*) > 1	0	0
267	select count (*) , location from shop group by location	0	0
268	select count (*) , location from shop group by location	0	0
269	select manager_name , district from shop order by number_products desc limit 1	0	0
270	select manager_name , district from shop order by number_products desc limit 1	0	0
271	select min (number_products) , max (number_products) from shop	0	0
272	select min (number_products) , max (number_products) from shop	0	0
273	select name , location , district from shop order by number_products desc	0	0
274	select name , location , district from shop order by number_products desc	0	0
275	select name from shop where number_products > (select avg (number_products) from shop) 	0	0
276	select name from shop where number_products > (select avg (number_products) from shop) 	0	0
277	select t1.name from employee as t1 join evaluation as t2 on t1.employee_id = t2.employee_id group by t2.employee_id order by count (*) desc limit 1	0	0
278	select t1.name from employee as t1 join evaluation as t2 on t1.employee_id = t2.employee_id group by t2.employee_id order by count (*) desc limit 1	0	0
279	select t1.name from employee as t1 join evaluation as t2 on t1.employee_id = t2.employee_id order by t2.bonus desc limit 1	0	0
280	select t1.name from employee as t1 join evaluation as t2 on t1.employee_id = t2.employee_id order by t2.bonus desc limit 1	0	0
281	select name from employee where employee_id not in (select employee_id from evaluation) 	0	0
282	select name from employee where employee_id not in (select employee_id from evaluation) 	0	0
283	select t2.name from hiring as t1 join shop as t2 on t1.shop_id = t2.shop_id group by t1.shop_id order by count (*) desc limit 1	0	0
284	select t2.name from hiring as t1 join shop as t2 on t1.shop_id = t2.shop_id group by t1.shop_id order by count (*) desc limit 1	0	0
285	select name from shop where shop_id not in (select shop_id from hiring) 	0	0
286	select name from shop where shop_id not in (select shop_id from hiring) 	0	0
287	select count (*) , t2.name from hiring as t1 join shop as t2 on t1.shop_id = t2.shop_id group by t2.name	0	0
288	select count (*) , t2.name from hiring as t1 join shop as t2 on t1.shop_id = t2.shop_id group by t2.name	0	0
289	select sum (bonus) from evaluation	0	0
290	select sum (bonus) from evaluation	0	0
291	select * from hiring	0	0
292	select * from hiring	0	0
293	intersect	0	2
294	intersect	0	2
295	select count (distinct location) from shop	0	0
296	select count (distinct location) from shop	0	0
297	select count (*) from documents	0	0
298	select count (*) from documents	0	0
299	select document_id , document_name , document_description from documents	0	0
300	select document_id , document_name , document_description from documents	0	0
301	"select document_name , template_id from documents where document_description like ""%w%"""	0	0
302	"select document_name , template_id from documents where document_description like ""%w%"""	0	0
303	"select document_id , template_id , document_description from documents where document_name = ""robbin cv"""	0	0
304	"select document_id , template_id , document_description from documents where document_name = ""robbin cv"""	0	0
305	select count (distinct template_id) from documents	0	0
306	select count (distinct template_id) from documents	0	0
307	select count (*) from documents as t1 join templates as t2 on t1.template_id = t2.template_id where t2.template_type_code = 'ppt'	0	0
308	select count (*) from documents as t1 join templates as t2 on t1.template_id = t2.template_id where t2.template_type_code = 'ppt'	0	0
309	select template_id , count (*) from documents group by template_id	0	0
310	select template_id , count (*) from documents group by template_id	0	0
311	select t1.template_id , t2.template_type_code from documents as t1 join templates as t2 on t1.template_id = t2.template_id group by t1.template_id order by count (*) desc limit 1	0	0
312	select t1.template_id , t2.template_type_code from documents as t1 join templates as t2 on t1.template_id = t2.template_id group by t1.template_id order by count (*) desc limit 1	0	0
313	select template_id from documents group by template_id having count (*) > 1	0	0
314	select template_id from documents group by template_id having count (*) > 1	0	0
315	except	0	2
316	except	0	2
317	select count (*) from templates	0	0
318	select count (*) from templates	0	0
319	select template_id , version_number , template_type_code from templates	0	0
320	select template_id , version_number , template_type_code from templates	0	0
321	select distinct template_type_code from templates	0	0
322	select distinct template_type_code from templates	0	0
323	"select template_id from templates where template_type_code = ""pp"" or template_type_code = ""ppt"""	0	0
324	"select template_id from templates where template_type_code = ""pp"" or template_type_code = ""ppt"""	0	0
325	"select count (*) from templates where template_type_code = ""cv"""	0	0
326	"select count (*) from templates where template_type_code = ""cv"""	0	0
327	select version_number , template_type_code from templates where version_number > 5	0	0
328	select version_number , template_type_code from templates where version_number > 5	0	0
329	select template_type_code , count (*) from templates group by template_type_code	0	0
